fake_code,real_code,bias_type,bias_params,injected_ra_arcsec,injected_dec_arcsec,recovered_mean_ra_arcsec,recovered_mean_dec_arcsec,recovered_rms_ra_arcsec,recovered_rms_dec_arcsec,n_obs,n_objects,recovery_error_ra,recovery_error_dec,detection_snr_ra,detection_snr_dec,detected_ra,detected_dec,scenario,target_station,applied_bias,is_target
AA08,V00,,{},0.0,0.0,0.0628729810562016,0.0292771520131305,0.4972297173035901,0.3758454489862393,470,66,-0.0628729810562016,-0.0292771520131305,0.0,0.0,True,True,AA02_clean,AA02,clean,False
AA00,F51,,{},0.0,0.0,-0.0446937719539641,0.0003564234074352,0.2867716743907408,0.1929926316186935,11792,100,0.0446937719539641,-0.0003564234074352,0.0,0.0,True,True,AA02_constant,AA02,constant,False
AA01,G96,,{},0.0,0.0,-0.0103996727012975,0.0038604681462953,0.321523519388559,0.1960506481009469,14710,100,0.0103996727012975,-0.0038604681462953,0.0,0.0,True,True,AA02_constant,AA02,constant,False
AA02,F52,ConstantBias,"{'delta_ra': 0.5, 'delta_dec': 0.0}",0.5,0.0,0.4827312809632496,0.0005062424051965,0.5612091283859597,0.1930986929718322,6019,100,0.0172687190367504,-0.0005062424051965,69.12059206858599,0.0,True,True,AA02_constant,AA02,constant,True
AA03,703,,{},0.0,0.0,0.0318904892660648,0.0138858676642923,0.479065677300072,0.3805218766263011,11201,92,-0.0318904892660648,-0.0138858676642923,0.0,0.0,True,True,AA02_constant,AA02,constant,False
AA04,691,,{},0.0,0.0,0.0542648531772438,0.0028958148434548,0.4337264474884584,0.3723133688329713,3214,97,-0.0542648531772438,-0.0028958148434548,0.0,0.0,True,True,AA02_constant,AA02,constant,False
AA05,W84,,{},0.0,0.0,-0.0599486402942241,0.0322444205834391,0.3064569340032798,0.2505778366299467,354,31,0.0599486402942241,-0.0322444205834391,0.0,0.0,True,True,AA02_constant,AA02,constant,False
AA06,W68,,{},0.0,0.0,-0.0653744318708941,-0.0065707863167968,0.3876480905203571,0.4035992102285842,4780,57,0.0653744318708941,0.0065707863167968,0.0,0.0,True,True,AA02_constant,AA02,constant,False
AA07,T09,,{},0.0,0.0,0.0895228868745973,0.0169525370499982,0.3059578517876998,0.2594899219289346,76,9,-0.0895228868745973,-0.0169525370499982,0.0,0.0,True,True,AA02_constant,AA02,constant,False
AA08,V00,,{},0.0,0.0,0.0316704017902028,0.0203239162565684,0.5017300367822422,0.3739621263674013,470,66,-0.0316704017902028,-0.0203239162565684,0.0,0.0,True,True,AA02_constant,AA02,constant,False
